Name,Country,Owner,Use,Purpose,OrbitClass,Perigee,Apogee,Period,Mass,LaunchDate,COSPAR,NORAD,Comments
ArSat 1,Argentina,ArSat,Commercial,Communications,GEO,35778,35795,1436.07,3000,10/16/14,2014-062B,40272,"First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay."
ArSat 2,Argentina,ArSat,Commercial,Communications,GEO,35786,35801,1436.06,2977,9/30/15,2015-054B,40941,
Artemis (Advanced Data Relay and Technology Mission Satellite) ,ESA,European Space Agency,Commercial/Government,Communications/Technology Development,GEO,35771,35803,1436.12,3105,7/12/01,2001-029A,26863,"An 18-month rescue mission recovered the satellite; develop European capabilities in satellite communications; test new technologies; support development of European navigation system (EGNOS, c. 2010)."
AsiaSat-3S (Asiasat 3SA),China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,GEO,35780,35792,1436.07,3480,3/21/99,1999-013A,25657,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications"
AsiaSat-4,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,35784,35789,1436.1,4137,4/12/03,2003-014A,27718,"28 C-band, 16 Ku-band; extensive C-band coverage across Asia and targeted Ku-band beams for Australasia, East Asia, and a BSS payload for provision of Direct to Home (DTH) services to Hong Kong."
AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,35778,35795,1436.11,3760,8/11/09,2009-042A,35696,"14 Ku-Band, 26 C-band, serving all of Asia."
AsiaSat-6 (Thaicom-7),China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,35783,35793,1436.17,3700,9/7/14,2014-052A,40141,14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.
AsiaSat-7,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,GEO,35782,35793,1436.17,3813,11/25/11,2011-069A,37933,"28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S."
AsiaSat-8,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,GEO,35781,35793,1436.1,4500,8/5/14,2014-046A,40107,24 Ku-band transponders.
AsiaStar ,USA,1Worldspace,Commercial,Communications,GEO,35773,35801,1436.15,2775,3/21/00,2000-016A,26107,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers."
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,"Ministry of Economy, Trade and Industry",Government,Earth Observation,LEO,506,507,94.75,500,11/6/14,2014-070A,40298,Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).
